Step: preprocess | Tue Nov 25 12:34:36 2025 | Splitting nodes chr1
Step: preprocess | Tue Nov 25 12:34:37 2025 | Splitting G1DMSO_pooled_allRes chr1
Step: preprocess | Tue Nov 25 12:34:59 2025 | Splitting EpiG1DMSO_pooled_allRes chr1
Step: preprocess | Tue Nov 25 12:35:18 2025 | Splitting nodes chr10
Step: preprocess | Tue Nov 25 12:35:18 2025 | Splitting G1DMSO_pooled_allRes chr10
Step: preprocess | Tue Nov 25 12:35:41 2025 | Splitting EpiG1DMSO_pooled_allRes chr10
Step: preprocess | Tue Nov 25 12:36:00 2025 | Splitting nodes chr11
Step: preprocess | Tue Nov 25 12:36:00 2025 | Splitting G1DMSO_pooled_allRes chr11
Step: preprocess | Tue Nov 25 12:36:21 2025 | Splitting EpiG1DMSO_pooled_allRes chr11
Step: preprocess | Tue Nov 25 12:36:41 2025 | Splitting nodes chr12
Step: preprocess | Tue Nov 25 12:36:41 2025 | Splitting G1DMSO_pooled_allRes chr12
Step: preprocess | Tue Nov 25 12:37:02 2025 | Splitting EpiG1DMSO_pooled_allRes chr12
Step: preprocess | Tue Nov 25 12:37:21 2025 | Splitting nodes chr13
Step: preprocess | Tue Nov 25 12:37:21 2025 | Splitting G1DMSO_pooled_allRes chr13
Step: preprocess | Tue Nov 25 12:37:43 2025 | Splitting EpiG1DMSO_pooled_allRes chr13
Step: preprocess | Tue Nov 25 12:38:01 2025 | Splitting nodes chr14
Step: preprocess | Tue Nov 25 12:38:02 2025 | Splitting G1DMSO_pooled_allRes chr14
Step: preprocess | Tue Nov 25 12:38:23 2025 | Splitting EpiG1DMSO_pooled_allRes chr14
Step: preprocess | Tue Nov 25 12:38:42 2025 | Splitting nodes chr15
Step: preprocess | Tue Nov 25 12:38:42 2025 | Splitting G1DMSO_pooled_allRes chr15
Step: preprocess | Tue Nov 25 12:39:03 2025 | Splitting EpiG1DMSO_pooled_allRes chr15
Step: preprocess | Tue Nov 25 12:39:21 2025 | Splitting nodes chr16
Step: preprocess | Tue Nov 25 12:39:21 2025 | Splitting G1DMSO_pooled_allRes chr16
Step: preprocess | Tue Nov 25 12:39:44 2025 | Splitting EpiG1DMSO_pooled_allRes chr16
Step: preprocess | Tue Nov 25 12:40:02 2025 | Splitting nodes chr17
