Step: preprocess | Tue Nov 25 12:34:36 2025 | Splitting nodes chr1
Step: preprocess | Tue Nov 25 12:34:36 2025 | Splitting G1DMSO_pooled_allRes chr1
Step: preprocess | Tue Nov 25 12:35:52 2025 | Splitting G1A485_pooled_allRes chr1
Step: preprocess | Tue Nov 25 12:37:13 2025 | Splitting nodes chr10
Step: preprocess | Tue Nov 25 12:37:14 2025 | Splitting G1DMSO_pooled_allRes chr10
Step: preprocess | Tue Nov 25 12:38:24 2025 | Splitting G1A485_pooled_allRes chr10
Step: preprocess | Tue Nov 25 12:39:39 2025 | Splitting nodes chr11
Step: preprocess | Tue Nov 25 12:39:39 2025 | Splitting G1DMSO_pooled_allRes chr11
Step: preprocess | Tue Nov 25 12:40:44 2025 | Splitting G1A485_pooled_allRes chr11
Step: preprocess | Tue Nov 25 12:41:46 2025 | Splitting nodes chr12
Step: preprocess | Tue Nov 25 12:41:47 2025 | Splitting G1DMSO_pooled_allRes chr12
Step: preprocess | Tue Nov 25 12:42:49 2025 | Splitting G1A485_pooled_allRes chr12
Step: preprocess | Tue Nov 25 12:43:56 2025 | Splitting nodes chr13
Step: preprocess | Tue Nov 25 12:43:56 2025 | Splitting G1DMSO_pooled_allRes chr13
Step: preprocess | Tue Nov 25 12:45:02 2025 | Splitting G1A485_pooled_allRes chr13
Step: preprocess | Tue Nov 25 12:46:08 2025 | Splitting nodes chr14
Step: preprocess | Tue Nov 25 12:46:09 2025 | Splitting G1DMSO_pooled_allRes chr14
Step: preprocess | Tue Nov 25 12:47:14 2025 | Splitting G1A485_pooled_allRes chr14
Step: preprocess | Tue Nov 25 12:48:19 2025 | Splitting nodes chr15
Step: preprocess | Tue Nov 25 12:48:19 2025 | Splitting G1DMSO_pooled_allRes chr15
Step: preprocess | Tue Nov 25 12:49:19 2025 | Splitting G1A485_pooled_allRes chr15
Step: preprocess | Tue Nov 25 12:50:21 2025 | Splitting nodes chr16
Step: preprocess | Tue Nov 25 12:50:21 2025 | Splitting G1DMSO_pooled_allRes chr16
Step: preprocess | Tue Nov 25 12:51:21 2025 | Splitting G1A485_pooled_allRes chr16
Step: preprocess | Tue Nov 25 12:52:27 2025 | Splitting nodes chr17
Step: preprocess | Tue Nov 25 12:52:28 2025 | Splitting G1DMSO_pooled_allRes chr17
Step: preprocess | Tue Nov 25 12:53:26 2025 | Splitting G1A485_pooled_allRes chr17
Step: preprocess | Tue Nov 25 12:54:29 2025 | Splitting nodes chr18
Step: preprocess | Tue Nov 25 12:54:30 2025 | Splitting G1DMSO_pooled_allRes chr18
Step: preprocess | Tue Nov 25 12:55:26 2025 | Splitting G1A485_pooled_allRes chr18
Step: preprocess | Tue Nov 25 12:56:31 2025 | Splitting nodes chr19
Step: preprocess | Tue Nov 25 12:56:31 2025 | Splitting G1DMSO_pooled_allRes chr19
Step: preprocess | Tue Nov 25 12:57:34 2025 | Splitting G1A485_pooled_allRes chr19
Step: preprocess | Tue Nov 25 12:58:40 2025 | Splitting nodes chr2
Step: preprocess | Tue Nov 25 12:58:41 2025 | Splitting G1DMSO_pooled_allRes chr2
