Step: preprocess | Tue Nov 25 12:34:36 2025 | Splitting nodes chr1
Step: preprocess | Tue Nov 25 12:34:36 2025 | Splitting EpiG1DMSO_pooled_allRes chr1
Step: preprocess | Tue Nov 25 12:35:15 2025 | Splitting EpiG1dTAG_pooled_allRes chr1
Step: preprocess | Tue Nov 25 12:35:54 2025 | Splitting nodes chr10
Step: preprocess | Tue Nov 25 12:35:55 2025 | Splitting EpiG1DMSO_pooled_allRes chr10
Step: preprocess | Tue Nov 25 12:36:40 2025 | Splitting EpiG1dTAG_pooled_allRes chr10
Step: preprocess | Tue Nov 25 12:37:23 2025 | Splitting nodes chr11
Step: preprocess | Tue Nov 25 12:37:24 2025 | Splitting EpiG1DMSO_pooled_allRes chr11
Step: preprocess | Tue Nov 25 12:37:59 2025 | Splitting EpiG1dTAG_pooled_allRes chr11
Step: preprocess | Tue Nov 25 12:38:38 2025 | Splitting nodes chr12
Step: preprocess | Tue Nov 25 12:38:38 2025 | Splitting EpiG1DMSO_pooled_allRes chr12
Step: preprocess | Tue Nov 25 12:39:13 2025 | Splitting EpiG1dTAG_pooled_allRes chr12
Step: preprocess | Tue Nov 25 12:39:53 2025 | Splitting nodes chr13
Step: preprocess | Tue Nov 25 12:39:53 2025 | Splitting EpiG1DMSO_pooled_allRes chr13
Step: preprocess | Tue Nov 25 12:40:26 2025 | Splitting EpiG1dTAG_pooled_allRes chr13
Step: preprocess | Tue Nov 25 12:41:10 2025 | Splitting nodes chr14
Step: preprocess | Tue Nov 25 12:41:10 2025 | Splitting EpiG1DMSO_pooled_allRes chr14
Step: preprocess | Tue Nov 25 12:41:45 2025 | Splitting EpiG1dTAG_pooled_allRes chr14
Step: preprocess | Tue Nov 25 12:42:21 2025 | Splitting nodes chr15
Step: preprocess | Tue Nov 25 12:42:22 2025 | Splitting EpiG1DMSO_pooled_allRes chr15
Step: preprocess | Tue Nov 25 12:42:54 2025 | Splitting EpiG1dTAG_pooled_allRes chr15
Step: preprocess | Tue Nov 25 12:43:37 2025 | Splitting nodes chr16
Step: preprocess | Tue Nov 25 12:43:37 2025 | Splitting EpiG1DMSO_pooled_allRes chr16
Step: preprocess | Tue Nov 25 12:44:10 2025 | Splitting EpiG1dTAG_pooled_allRes chr16
Step: preprocess | Tue Nov 25 12:44:47 2025 | Splitting nodes chr17
Step: preprocess | Tue Nov 25 12:44:47 2025 | Splitting EpiG1DMSO_pooled_allRes chr17
Step: preprocess | Tue Nov 25 12:45:19 2025 | Splitting EpiG1dTAG_pooled_allRes chr17
Step: preprocess | Tue Nov 25 12:45:58 2025 | Splitting nodes chr18
Step: preprocess | Tue Nov 25 12:45:59 2025 | Splitting EpiG1DMSO_pooled_allRes chr18
Step: preprocess | Tue Nov 25 12:46:33 2025 | Splitting EpiG1dTAG_pooled_allRes chr18
Step: preprocess | Tue Nov 25 12:47:09 2025 | Splitting nodes chr19
Step: preprocess | Tue Nov 25 12:47:10 2025 | Splitting EpiG1DMSO_pooled_allRes chr19
Step: preprocess | Tue Nov 25 12:47:42 2025 | Splitting EpiG1dTAG_pooled_allRes chr19
Step: preprocess | Tue Nov 25 12:48:17 2025 | Splitting nodes chr2
Step: preprocess | Tue Nov 25 12:48:18 2025 | Splitting EpiG1DMSO_pooled_allRes chr2
Step: preprocess | Tue Nov 25 12:48:53 2025 | Splitting EpiG1dTAG_pooled_allRes chr2
Step: preprocess | Tue Nov 25 12:49:29 2025 | Splitting nodes chr3
Step: preprocess | Tue Nov 25 12:49:30 2025 | Splitting EpiG1DMSO_pooled_allRes chr3
Step: preprocess | Tue Nov 25 12:50:03 2025 | Splitting EpiG1dTAG_pooled_allRes chr3
Step: preprocess | Tue Nov 25 12:50:39 2025 | Splitting nodes chr4
Step: preprocess | Tue Nov 25 12:50:40 2025 | Splitting EpiG1DMSO_pooled_allRes chr4
Step: preprocess | Tue Nov 25 12:51:12 2025 | Splitting EpiG1dTAG_pooled_allRes chr4
Step: preprocess | Tue Nov 25 12:51:59 2025 | Splitting nodes chr5
Step: preprocess | Tue Nov 25 12:51:59 2025 | Splitting EpiG1DMSO_pooled_allRes chr5
Step: preprocess | Tue Nov 25 12:52:32 2025 | Splitting EpiG1dTAG_pooled_allRes chr5
Step: preprocess | Tue Nov 25 12:53:08 2025 | Splitting nodes chr6
Step: preprocess | Tue Nov 25 12:53:08 2025 | Splitting EpiG1DMSO_pooled_allRes chr6
Step: preprocess | Tue Nov 25 12:53:42 2025 | Splitting EpiG1dTAG_pooled_allRes chr6
Step: preprocess | Tue Nov 25 12:54:26 2025 | Splitting nodes chr7
Step: preprocess | Tue Nov 25 12:54:27 2025 | Splitting EpiG1DMSO_pooled_allRes chr7
Step: preprocess | Tue Nov 25 12:55:08 2025 | Splitting EpiG1dTAG_pooled_allRes chr7
Step: preprocess | Tue Nov 25 12:55:44 2025 | Splitting nodes chr8
Step: preprocess | Tue Nov 25 12:55:45 2025 | Splitting EpiG1DMSO_pooled_allRes chr8
Step: preprocess | Tue Nov 25 12:56:20 2025 | Splitting EpiG1dTAG_pooled_allRes chr8
Step: preprocess | Tue Nov 25 12:56:57 2025 | Splitting nodes chr9
Step: preprocess | Tue Nov 25 12:56:57 2025 | Splitting EpiG1DMSO_pooled_allRes chr9
Step: preprocess | Tue Nov 25 12:57:29 2025 | Splitting EpiG1dTAG_pooled_allRes chr9
Step: preprocess | Tue Nov 25 12:58:06 2025 | Splitting nodes chrX
Step: preprocess | Tue Nov 25 12:58:06 2025 | Splitting EpiG1DMSO_pooled_allRes chrX
Step: preprocess | Tue Nov 25 12:58:40 2025 | Splitting EpiG1dTAG_pooled_allRes chrX
Step: preprocess | Tue Nov 25 12:59:21 2025 | Splitting nodes chrY
Step: preprocess | Tue Nov 25 12:59:21 2025 | Splitting EpiG1DMSO_pooled_allRes chrY
Step: preprocess | Tue Nov 25 12:59:55 2025 | Splitting EpiG1dTAG_pooled_allRes chrY
Step: concordance | Tue Nov 25 13:00:33 2025 | computing concordance between EpiG1DMSO_pooled_allRes and EpiG1dTAG_pooled_allRes
