Step: preprocess | Tue Nov 25 12:34:36 2025 | Splitting nodes chr1
Step: preprocess | Tue Nov 25 12:34:37 2025 | Splitting G1DMSO_pooled_allRes chr1
Step: preprocess | Tue Nov 25 12:35:00 2025 | Splitting G1dTAG_pooled_allRes chr1
Step: preprocess | Tue Nov 25 12:35:24 2025 | Splitting nodes chr10
Step: preprocess | Tue Nov 25 12:35:24 2025 | Splitting G1DMSO_pooled_allRes chr10
Step: preprocess | Tue Nov 25 12:35:46 2025 | Splitting G1dTAG_pooled_allRes chr10
Step: preprocess | Tue Nov 25 12:36:09 2025 | Splitting nodes chr11
Step: preprocess | Tue Nov 25 12:36:09 2025 | Splitting G1DMSO_pooled_allRes chr11
Step: preprocess | Tue Nov 25 12:36:32 2025 | Splitting G1dTAG_pooled_allRes chr11
Step: preprocess | Tue Nov 25 12:36:54 2025 | Splitting nodes chr12
Step: preprocess | Tue Nov 25 12:36:54 2025 | Splitting G1DMSO_pooled_allRes chr12
Step: preprocess | Tue Nov 25 12:37:15 2025 | Splitting G1dTAG_pooled_allRes chr12
Step: preprocess | Tue Nov 25 12:37:40 2025 | Splitting nodes chr13
Step: preprocess | Tue Nov 25 12:37:40 2025 | Splitting G1DMSO_pooled_allRes chr13
Step: preprocess | Tue Nov 25 12:38:01 2025 | Splitting G1dTAG_pooled_allRes chr13
Step: preprocess | Tue Nov 25 12:38:23 2025 | Splitting nodes chr14
Step: preprocess | Tue Nov 25 12:38:23 2025 | Splitting G1DMSO_pooled_allRes chr14
Step: preprocess | Tue Nov 25 12:38:44 2025 | Splitting G1dTAG_pooled_allRes chr14
Step: preprocess | Tue Nov 25 12:39:07 2025 | Splitting nodes chr15
Step: preprocess | Tue Nov 25 12:39:07 2025 | Splitting G1DMSO_pooled_allRes chr15
Step: preprocess | Tue Nov 25 12:39:28 2025 | Splitting G1dTAG_pooled_allRes chr15
Step: preprocess | Tue Nov 25 12:39:50 2025 | Splitting nodes chr16
Step: preprocess | Tue Nov 25 12:39:51 2025 | Splitting G1DMSO_pooled_allRes chr16
Step: preprocess | Tue Nov 25 12:40:13 2025 | Splitting G1dTAG_pooled_allRes chr16
Step: preprocess | Tue Nov 25 12:40:36 2025 | Splitting nodes chr17
Step: preprocess | Tue Nov 25 12:40:36 2025 | Splitting G1DMSO_pooled_allRes chr17
Step: preprocess | Tue Nov 25 12:40:58 2025 | Splitting G1dTAG_pooled_allRes chr17
Step: preprocess | Tue Nov 25 12:41:20 2025 | Splitting nodes chr18
Step: preprocess | Tue Nov 25 12:41:20 2025 | Splitting G1DMSO_pooled_allRes chr18
Step: preprocess | Tue Nov 25 12:41:41 2025 | Splitting G1dTAG_pooled_allRes chr18
Step: preprocess | Tue Nov 25 12:42:04 2025 | Splitting nodes chr19
Step: preprocess | Tue Nov 25 12:42:04 2025 | Splitting G1DMSO_pooled_allRes chr19
Step: preprocess | Tue Nov 25 12:42:26 2025 | Splitting G1dTAG_pooled_allRes chr19
Step: preprocess | Tue Nov 25 12:42:48 2025 | Splitting nodes chr2
Step: preprocess | Tue Nov 25 12:42:48 2025 | Splitting G1DMSO_pooled_allRes chr2
Step: preprocess | Tue Nov 25 12:43:11 2025 | Splitting G1dTAG_pooled_allRes chr2
Step: preprocess | Tue Nov 25 12:43:35 2025 | Splitting nodes chr3
Step: preprocess | Tue Nov 25 12:43:36 2025 | Splitting G1DMSO_pooled_allRes chr3
Step: preprocess | Tue Nov 25 12:43:58 2025 | Splitting G1dTAG_pooled_allRes chr3
Step: preprocess | Tue Nov 25 12:44:22 2025 | Splitting nodes chr4
Step: preprocess | Tue Nov 25 12:44:22 2025 | Splitting G1DMSO_pooled_allRes chr4
Step: preprocess | Tue Nov 25 12:44:44 2025 | Splitting G1dTAG_pooled_allRes chr4
Step: preprocess | Tue Nov 25 12:45:07 2025 | Splitting nodes chr5
Step: preprocess | Tue Nov 25 12:45:08 2025 | Splitting G1DMSO_pooled_allRes chr5
Step: preprocess | Tue Nov 25 12:45:30 2025 | Splitting G1dTAG_pooled_allRes chr5
Step: preprocess | Tue Nov 25 12:45:52 2025 | Splitting nodes chr6
Step: preprocess | Tue Nov 25 12:45:53 2025 | Splitting G1DMSO_pooled_allRes chr6
Step: preprocess | Tue Nov 25 12:46:13 2025 | Splitting G1dTAG_pooled_allRes chr6
Step: preprocess | Tue Nov 25 12:46:36 2025 | Splitting nodes chr7
Step: preprocess | Tue Nov 25 12:46:37 2025 | Splitting G1DMSO_pooled_allRes chr7
Step: preprocess | Tue Nov 25 12:46:58 2025 | Splitting G1dTAG_pooled_allRes chr7
Step: preprocess | Tue Nov 25 12:47:20 2025 | Splitting nodes chr8
Step: preprocess | Tue Nov 25 12:47:20 2025 | Splitting G1DMSO_pooled_allRes chr8
Step: preprocess | Tue Nov 25 12:47:42 2025 | Splitting G1dTAG_pooled_allRes chr8
Step: preprocess | Tue Nov 25 12:48:04 2025 | Splitting nodes chr9
Step: preprocess | Tue Nov 25 12:48:04 2025 | Splitting G1DMSO_pooled_allRes chr9
Step: preprocess | Tue Nov 25 12:48:27 2025 | Splitting G1dTAG_pooled_allRes chr9
Step: preprocess | Tue Nov 25 12:48:48 2025 | Splitting nodes chrX
Step: preprocess | Tue Nov 25 12:48:48 2025 | Splitting G1DMSO_pooled_allRes chrX
Step: preprocess | Tue Nov 25 12:49:10 2025 | Splitting G1dTAG_pooled_allRes chrX
Step: preprocess | Tue Nov 25 12:49:31 2025 | Splitting nodes chrY
Step: preprocess | Tue Nov 25 12:49:32 2025 | Splitting G1DMSO_pooled_allRes chrY
Step: preprocess | Tue Nov 25 12:49:52 2025 | Splitting G1dTAG_pooled_allRes chrY
Step: concordance | Tue Nov 25 12:50:14 2025 | computing concordance between G1DMSO_pooled_allRes and G1dTAG_pooled_allRes
